,Vg,Gsd_0.03_K,Gsd_0.5_K,Gsd_1.0_K,Gsd_9.71_K,Gsd_20.01_K,Gsd_29.0_K,Gsd_29.08_K,Gsd_59.48_K,Gsd_72.82_K,Gsd_185.76_K,Gsd_188.53_K,Gsd_205.29_K,Gsd_238.49_K,Gsd_275.6_K,Gsd_283.15_K,Gsd_294.48_K,Gsd_294.68_K,Gsd_294.9_K,Gsd_295.13_K,Gsd_295.31_K,Gsd_295.49_K
30,-18.826979472140764,3.2106770333962207e-11,3.7792821326755224e-11,3.286647894505202e-10,1.780440403648748e-10,3.927409313294423e-11,6.242359214261417e-11,4.7718158046349406e-11,4.199110700644968e-10,4.900227201172811e-10,4.2336109703136134e-10,3.8259036099396237e-10,7.733659878228906e-10,3.437375613879964e-10,3.616452027282004e-10,6.389294350745819e-10,1.4020221974779718e-09,9.397267399213527e-10,1.1886425153876742e-09,3.520652451408357e-10,5.98315860658332e-10,4.6221075967824383e-10
31,-18.78787878787879,9.238970198397212e-12,6.617100277150116e-12,2.1238903059494678e-10,1.8781880307761807e-10,9.286463750877391e-11,6.053137877099415e-11,-5.840640307721759e-11,4.701453825300587e-10,5.066159758444609e-10,5.184968924987789e-10,2.370370546826122e-10,8.198563403093253e-10,5.105657203020923e-10,3.357411404544955e-10,6.389294350745819e-10,1.4020221974779718e-09,9.397267399213527e-10,1.1886425153876742e-09,3.520652451408357e-10,5.98315860658332e-10,4.6221075967824383e-10
32,-18.748778103616814,-1.5636169685344782e-11,8.112174709651081e-13,8.938010399642438e-11,2.2487318437162932e-10,1.0936127491145841e-10,1.0130870242047371e-10,-7.872511072636673e-12,4.1076307166195946e-10,6.031116428253043e-10,6.346242732172556e-10,2.0927058014235713e-10,8.187264078547594e-10,5.72413994253616e-10,3.6867167609183513e-10,6.389294350745819e-10,1.4020221974779718e-09,9.397267399213527e-10,1.1886425153876742e-09,3.520652451408357e-10,5.98315860658332e-10,4.6221075967824383e-10
33,-18.70967741935484,-3.7055322380696946e-11,6.214879457654986e-11,-9.381388115247309e-11,1.5344965826855392e-10,1.2472296072686825e-10,1.205169267600084e-10,1.1674693002340333e-10,4.722226764542726e-10,5.595458767570306e-10,5.306378630141806e-10,2.457606225989167e-10,7.643142940471837e-10,5.182387208142198e-10,4.4539854424754664e-10,6.389294350745819e-10,1.4020221974779718e-09,9.397267399213527e-10,1.1886425153876742e-09,3.520652451408357e-10,5.98315860658332e-10,4.6221075967824383e-10
34,-18.670576735092865,3.296315999734796e-12,2.403600348193037e-11,-1.223413818272234e-10,7.427753095336585e-11,1.280293149942385e-10,1.584596947022078e-10,1.9935935973497168e-10,3.918211751006524e-10,5.551541348457426e-10,5.963502424564e-10,1.7114931925990002e-10,7.479738771770028e-10,4.383428971714428e-10,2.496658222456441e-10,5.359110902664679e-10,1.1514325409521399e-09,9.774662329503366e-10,9.08987683497673e-10,3.9543997043473454e-10,4.4251191502957435e-10,3.0743573644030146e-10
35,-18.63147605083089,-8.879192427610914e-11,-5.401026942266924e-11,-6.41696232523464e-12,1.598813642948411e-11,2.1712583794318726e-10,1.3376367514757318e-10,4.89974097262313e-10,4.830053439354487e-10,5.269535052451933e-10,6.12381355218526e-10,2.691322182691415e-10,7.369722499921388e-10,2.94384106869981e-10,3.686964580647925e-10,5.359110902664679e-10,1.1514325409521399e-09,9.774662329503366e-10,9.08987683497673e-10,3.9543997043473454e-10,4.4251191502957435e-10,3.0743573644030146e-10
36,-18.592375366568913,-5.0603532483211896e-11,4.165253507470056e-12,-1.0195993500665443e-10,-1.2283702127785404e-11,1.7981987257712276e-10,1.970932209071623e-10,2.4542935978060197e-10,4.818634910384288e-10,5.115886824727456e-10,5.764964320565072e-10,2.819802592326737e-10,8.717002261861432e-10,4.4841284767986006e-10,3.273761268959457e-10,5.359110902664679e-10,1.1514325409521399e-09,9.774662329503366e-10,9.08987683497673e-10,3.9543997043473454e-10,4.4251191502957435e-10,3.0743573644030146e-10
37,-18.55327468230694,7.390046854354533e-12,4.1909138280569854e-11,-6.616096450897931e-11,-2.5569348794549755e-12,2.2588108913963716e-10,2.1051124723166706e-10,1.360693396519592e-10,3.824934289750424e-10,6.768499306111588e-10,5.950813427398568e-10,2.808255448054062e-10,7.68663373323239e-10,5.443739769311344e-10,3.8301322300124993e-10,5.359110902664679e-10,1.1514325409521399e-09,9.774662329503366e-10,9.08987683497673e-10,3.9543997043473454e-10,4.4251191502957435e-10,3.0743573644030146e-10
38,-18.514173998044967,1.0553983205727714e-11,1.7316010860585517e-13,3.938765104504773e-12,-7.673000511274229e-13,2.2063358494699208e-10,2.4144479508374165e-10,2.8816979206570113e-10,4.812511567374162e-10,6.900511931024989e-10,5.210933530571105e-10,1.7355818969898522e-10,6.087355820395988e-10,5.007831151937725e-10,3.742905961716301e-10,5.359110902664679e-10,1.1514325409521399e-09,9.774662329503366e-10,9.08987683497673e-10,3.9543997043473454e-10,4.4251191502957435e-10,3.0743573644030146e-10
39,-18.475073313782993,4.4667152202034015e-11,6.055521965300417e-11,-2.1931104323424178e-11,-5.2649770518261686e-11,1.992075309427473e-10,2.3787054455868795e-10,7.693077046033272e-11,4.4969649110121395e-10,4.05994581033575e-10,6.740414116593954e-10,1.4097428797669039e-10,8.217156156173883e-10,5.019243406993849e-10,3.3590959512541303e-10,5.836719109489878e-10,1.5051691575851499e-09,1.0384217285122862e-09,6.105738397256211e-10,3.5713645226528035e-10,4.100789010111145e-10,3.97047347976065e-10
40,-18.435972629521018,2.2324165225642193e-11,1.5374233650380006e-11,-4.614465966659833e-12,-1.369269841083911e-10,2.0482143188957707e-10,2.537059111099448e-10,3.067098442416753e-10,4.702852908795739e-10,5.683651219068826e-10,4.901754899982372e-10,2.0178360126908232e-10,8.340441762511844e-10,4.88274806837501e-10,4.728883390492185e-10,5.836719109489878e-10,1.5051691575851499e-09,1.0384217285122862e-09,6.105738397256211e-10,3.5713645226528035e-10,4.100789010111145e-10,3.97047347976065e-10
41,-18.396871945259043,-5.154650220857646e-12,4.362379980117493e-11,3.550409639804556e-11,6.427753462047458e-11,1.100903040696785e-10,2.5390793123625284e-10,2.5821685744475165e-10,4.97359752373406e-10,7.320666742756579e-10,5.590367483907178e-10,1.5053730598923296e-10,9.331127766010697e-10,4.5223868227688106e-10,3.289442924542731e-10,5.836719109489878e-10,1.5051691575851499e-09,1.0384217285122862e-09,6.105738397256211e-10,3.5713645226528035e-10,4.100789010111145e-10,3.97047347976065e-10
42,-18.35777126099707,4.408461900609178e-11,4.360999718680421e-12,7.162303666870183e-12,-1.2974774086668517e-11,7.453036980993908e-11,1.944838988205441e-10,5.453288669785301e-12,4.947604685539108e-10,5.634448024871254e-10,5.611874471446468e-10,1.4155619377952068e-10,8.285886917092565e-10,3.432256097593273e-10,4.2660502582529697e-10,5.836719109489878e-10,1.5051691575851499e-09,1.0384217285122862e-09,6.105738397256211e-10,3.5713645226528035e-10,4.100789010111145e-10,3.97047347976065e-10
43,-18.318670576735094,2.2404471362460047e-11,4.417464970929826e-12,1.504014756859981e-10,3.938859211979903e-11,6.690756063342911e-11,2.6724000489820356e-10,9.336529608554203e-11,4.5076838982347655e-10,6.94969316651051e-10,5.755073490390792e-10,2.63056557030709e-10,5.146525498471376e-10,3.4571729590273546e-10,3.5160975876586556e-10,5.836719109489878e-10,1.5051691575851499e-09,1.0384217285122862e-09,6.105738397256211e-10,3.5713645226528035e-10,4.100789010111145e-10,3.97047347976065e-10
